transactionID,dateOfPayment,description,amount,type
Mb0h2L374n,2021-10-27,Duis ac arcu. Nunc mauris. Morbi non sapien,4282,0
Mb6o6T540n,2021-04-17,"lectus pede, ultrices a, auctor non, feugiat nec, diam.",17332,1
Md4x8O425o,2021-07-06,"Vivamus nibh dolor, nonummy ac, feugiat non,",12111,1
Me0d8W423d,2022-01-23,"rhoncus. Nullam velit dui, semper et, lacinia vitae,",16645,0
Me1k4K887a,2021-02-13,Nunc commodo auctor velit. Aliquam nisl.,2789,1
Me6a9U102c,2021-10-26,sem eget massa. Suspendisse eleifend. Cras sed leo. Cras,5933,0
Mf0v2Z877i,2021-09-27,consequat enim diam vel arcu. Curabitur ut odio vel,10956,0
Mf5j1T825r,2021-04-01,"non, cursus non, egestas a, dui. Cras",18589,0
Mf8u9L320d,2021-06-26,"vitae nibh. Donec est mauris,",7497,1
Mg1z5F259b,2021-02-15,Donec vitae erat vel pede blandit,14616,0
Mg2e4N676q,2021-05-14,tincidunt nibh. Phasellus nulla. Integer,4331,0
Mg4q3H676u,2021-10-27,Morbi sit amet massa. Quisque,17477,1
Mg7q6O707o,2021-07-08,"ultricies ornare, elit elit fermentum risus, at fringilla purus mauris",13579,1
Mh6n1S125l,2021-07-20,"est ac mattis semper, dui lectus rutrum urna, nec",16333,0
Mi6k6S050w,2021-03-21,sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla,15792,0
Mi7m9R742w,2021-11-10,"at, iaculis quis, pede. Praesent eu dui. Cum sociis natoque",19276,0
Mk2r5G724d,2021-12-03,purus gravida sagittis. Duis gravida. Praesent,6652,1
Ml0h3P711u,2021-08-18,"sociosqu ad litora torquent per conubia nostra, per",5104,0
Mn2v4D211i,2021-05-02,Ut sagittis lobortis mauris. Suspendisse,13815,0
Mn6x5L289h,2021-07-13,"ut, sem. Nulla interdum. Curabitur dictum.",3085,0
Mn9x7I604f,2021-04-11,"magna sed dui. Fusce aliquam, enim",4190,1
Mo8n6A500x,2021-10-17,Curabitur egestas nunc sed libero. Proin sed turpis,9142,0
Mp4a2O616q,2022-02-01,enim. Curabitur massa. Vestibulum accumsan neque et,7472,0
Mp6w6I243q,2021-07-24,a odio semper cursus. Integer mollis. Integer,19951,0
Mp7f8S699g,2022-01-25,"ut, molestie in, tempus eu, ligula. Aenean",4537,0
Mq3p8P009v,2021-03-03,suscipit nonummy. Fusce fermentum fermentum,17049,1
Mq4t6O102o,2022-01-15,"lectus pede et risus. Quisque libero lacus,",2934,1
Mq6g7Z769l,2022-01-03,Nam tempor diam dictum sapien. Aenean massa.,8848,1
Mr5l5A162a,2021-07-22,"magna sed dui. Fusce aliquam,",14676,0
Mr8k7I508h,2022-01-09,"porttitor vulputate, posuere vulputate, lacus. Cras interdum.",10711,0
Ms0a0G198n,2021-05-16,"vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy",5604,1
Ms8d3Z570z,2021-11-29,"a, arcu. Sed et libero. Proin mi. Aliquam",15172,0
Mt3z5D549v,2021-09-27,Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat,18674,0
Mt7v7Y217a,2022-01-22,"Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem.",8853,0
Mu0c8V469p,2021-02-15,blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae,14973,1
Mu0i7K329x,2021-12-22,amet diam eu dolor egestas,15719,1
Mu7q3B911o,2021-10-31,dignissim pharetra. Nam ac nulla.,19798,1
Mu7u5I303k,2021-08-26,"non, cursus non, egestas a,",6991,0
Mv1l5Q210j,2021-04-17,"adipiscing, enim mi tempor lorem, eget mollis lectus pede et",15962,1
Mv5z3Z965n,2021-06-15,"ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id",2557,0
Mv8l1N656i,2021-10-22,"elit fermentum risus, at fringilla",5992,0
Mx0f5X901e,2021-06-19,"velit. Sed malesuada augue ut lacus. Nulla tincidunt,",7333,1
Mx0v4E664u,2022-01-19,interdum. Curabitur dictum. Phasellus in,2163,0
Mx2r0Y217e,2021-11-14,"Aliquam tincidunt, nunc ac mattis ornare,",16488,1
Mx6h8R926p,2021-05-17,"ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent",8747,0
Mx8l1S902r,2022-02-16,"non magna. Nam ligula elit, pretium",4012,0
My9f2G226i,2021-08-15,accumsan neque et nunc. Quisque ornare tortor,7772,1
Mz6o7G601t,2021-05-01,"mollis vitae, posuere at, velit. Cras lorem lorem, luctus",10613,0
